area_type,period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
county,February,GEARY COUNTY,"11,403","10,888",515,4.50%,No
county,February,GOVE COUNTY,"1,474","1,447",27,1.80%,No
county,February,GRAHAM COUNTY,"1,085","1,056",29,2.70%,No
county,February,GRANT COUNTY,"3,138","3,058",80,2.50%,No
county,February,GRAY COUNTY,"3,173","3,102",71,2.20%,No
county,February,GREELEY COUNTY,778,764,14,1.80%,No
county,February,GREENWOOD COUNTY,"3,312","3,187",125,3.80%,No
county,February,HAMILTON COUNTY,"1,621","1,592",29,1.80%,No
county,February,HARPER COUNTY,"2,988","2,913",75,2.50%,No
county,February,HARVEY COUNTY,"17,272","16,732",540,3.10%,No
county,February,HASKELL COUNTY,"2,170","2,124",46,2.10%,No
county,February,HODGEMAN COUNTY,978,949,29,3.00%,No
county,February,JACKSON COUNTY,"7,208","6,969",239,3.30%,No
county,February,JEFFERSON COUNTY,"10,168","9,801",367,3.60%,No
county,February,JEWELL COUNTY,"1,244","1,212",32,2.60%,No
county,February,JOHNSON COUNTY,"342,010","332,840","9,170",2.70%,No
county,February,KEARNY COUNTY,"2,021","1,985",36,1.80%,No
county,February,KINGMAN COUNTY,"3,462","3,353",109,3.10%,No
county,February,KIOWA COUNTY,"1,267","1,238",29,2.30%,No
county,February,LABETTE COUNTY,"9,943","9,530",413,4.20%,No
county,February,LANE COUNTY,746,725,21,2.80%,No
county,February,LEAVENWORTH COUNTY,"36,966","35,575","1,391",3.80%,No
county,February,LINCOLN COUNTY,"1,698","1,659",39,2.30%,No
county,February,LINN COUNTY,"4,525","4,208",317,7.00%,No
county,February,LOGAN COUNTY,"1,616","1,580",36,2.20%,No
county,February,LYON COUNTY,"16,829","16,243",586,3.50%,No
county,February,MARION COUNTY,"5,920","5,765",155,2.60%,No
county,February,MARSHALL COUNTY,"5,448","5,291",157,2.90%,No
county,February,MCPHERSON COUNTY,"17,212","16,804",408,2.40%,No
county,February,MEADE COUNTY,"2,067","2,021",46,2.20%,No
county,February,MIAMI COUNTY,"17,737","17,065",672,3.80%,No
county,February,MITCHELL COUNTY,"3,259","3,184",75,2.30%,No
county,February,MONTGOMERY COUNTY,"14,510","13,842",668,4.60%,No
county,February,MORRIS COUNTY,"3,034","2,936",98,3.20%,No
county,February,MORTON COUNTY,"1,109","1,080",29,2.60%,No
county,February,NEMAHA COUNTY,"5,246","5,109",137,2.60%,No
county,February,NEOSHO COUNTY,"6,200","5,927",273,4.40%,No
county,February,NESS COUNTY,"1,312","1,278",34,2.60%,No
county,February,NORTON COUNTY,"2,655","2,600",55,2.10%,No
county,February,OSAGE COUNTY,"8,015","7,700",315,3.90%,No
county,February,OSBORNE COUNTY,"2,078","2,021",57,2.70%,No
county,February,OTTAWA COUNTY,"2,978","2,898",80,2.70%,No
county,February,PAWNEE COUNTY,"2,835","2,742",93,3.30%,No
county,February,PHILLIPS COUNTY,"2,611","2,549",62,2.40%,No
county,February,POTTAWATOMIE COUNTY,"12,704","12,321",383,3.00%,No
county,February,PRATT COUNTY,"4,881","4,765",116,2.40%,No
county,February,RAWLINS COUNTY,"1,463","1,434",29,2.00%,No
county,February,RENO COUNTY,"29,655","28,686",969,3.30%,No
county,February,REPUBLIC COUNTY,"2,183","2,128",55,2.50%,No
county,February,RICE COUNTY,"5,195","5,065",130,2.50%,No
county,February,RILEY COUNTY,"35,799","34,851",948,2.60%,No
