weekEnding,county,claims
12/15/18,Scotland,0
12/15/18,Bates,9
12/15/18,Atchison,2
12/15/18,Harrison,7
12/15/18,Cedar,8
12/15/18,Johnson,38
12/15/18,Perry,7
12/15/18,Morgan,27
12/15/18,Shannon,4
12/15/18,Madison,8
12/15/18,St. Clair,6
12/15/18,Ralls,7
12/15/18,Sullivan,2
12/15/18,Newton,46
12/15/18,Texas,13
12/15/18,St. Louis,493
12/15/18,Clinton,4
12/15/18,Dallas,10
12/15/18,Camden,46
12/15/18,Clark,1
12/15/18,Gasconade,13
12/15/18,Jackson,422
12/15/18,Lewis,2
12/15/18,Greene,166
12/15/18,Callaway,26
12/15/18,Stone,53
12/15/18,Monroe,10
12/15/18,St. Charles,163
12/15/18,Pulaski,22
12/15/18,Andrew,6
12/15/18,St. Francois,48
12/15/18,Pike,11
12/15/18,Nodaway,16
12/15/18,Washington,26
12/15/18,Franklin,74
12/15/18,Oregon,1
12/15/18,Wayne,11
12/15/18,Carter,2
12/15/18,Cape Girardeau,42
12/15/18,Warren,21
12/15/18,Knox,3
12/15/18,Dent,6
12/15/18,Henry,13
12/15/18,Webster,17
12/15/18,Christian,51
12/15/18,Jasper,54
12/15/18,Crawford,22
12/15/18,Iron,7
12/15/18,Maries,4
12/15/18,Lawrence,22
12/15/18,Howard,4
12/15/18,Vernon,7
12/15/18,Chariton,5
12/15/18,Certified Mail,0
12/15/18,Adair,20
12/15/18,Stoddard,48
12/15/18,Cooper,8
12/15/18,Ray,17
12/15/18,Daviess,3
12/15/18,Linn,10
12/15/18,Reynolds,4
12/15/18,Dade,3
12/15/18,Hickory,8
12/15/18,Dunklin,41
12/15/18,DeKalb,4
12/15/18,Cole,30
12/15/18,St. Louis City,235
12/15/18,Pettis,25
12/15/18,Grundy,5
12/15/18,Miller,36
12/15/18,Wright,13
12/15/18,Barton,1
12/15/18,Mercer,2
12/15/18,Macon,14
12/8/18,Bates,16
12/8/18,St. Charles,177
12/8/18,Shannon,6
12/8/18,Howell,16
12/8/18,Mercer,2
12/8/18,Lincoln,46
12/8/18,St. Clair,11
12/8/18,Laclede,26
12/8/18,Mississippi,20
12/8/18,Callaway,20
12/8/18,Scotland,3
12/8/18,Schuyler,4
12/8/18,Adair,17
12/8/18,Pemiscot,17
12/8/18,Ozark,6
12/8/18,Madison,8
12/8/18,Gasconade,13
12/8/18,Barry,12
12/8/18,Marion,19
12/8/18,Iron,4
12/8/18,Stoddard,31
12/8/18,Saline,17
12/8/18,Clinton,7
12/8/18,Worth,0
12/8/18,Grundy,3
12/8/18,Pulaski,25
12/8/18,Jefferson,152
12/8/18,Franklin,62
12/8/18,Lawrence,16
12/8/18,Maries,3
12/8/18,Jasper,47
12/8/18,Dent,6
12/8/18,Bollinger,12
12/8/18,Vernon,13
12/8/18,Cedar,3
12/8/18,Benton,29
12/8/18,Camden,74
12/8/18,Hickory,4
12/8/18,Montgomery,8
12/8/18,Cole,27
12/8/18,Moniteau,8
12/8/18,Sullivan,2
12/8/18,Cape Girardeau,35
12/8/18,Wright,12
12/8/18,Ripley,6
12/8/18,Warren,23
12/8/18,Certified Mail,0
12/8/18,Buchanan,66
12/8/18,Holt,2
12/8/18,Howard,8
12/8/18,Monroe,12
12/8/18,Pettis,18
12/8/18,Taney,158
12/8/18,Harrison,5
12/8/18,Randolph,25
12/8/18,Reynolds,4
12/8/18,Henry,13
12/8/18,Osage,10
12/8/18,Dunklin,35
12/8/18,Johnson,35
12/8/18,Knox,2
12/8/18,Cooper,13
12/8/18,Crawford,10
12/8/18,McDonald,8
12/8/18,Carroll,6
12/8/18,St. Francois,46
12/8/18,DeKalb,4
12/8/18,Jackson,446
12/8/18,Christian,35
12/8/18,Barton,4
12/8/18,New Madrid,10
12/8/18,Livingston,15
12/8/18,Wayne,9
12/8/18,Greene,126
12/8/18,Clark,2
12/8/18,Oregon,4
12/8/18,St. Louis City,229
12/8/18,Scott,25
12/8/18,Webster,16
12/8/18,Newton,18
12/8/18,Cass,63
12/8/18,Washington,31
12/8/18,St. Louis,543
12/8/18,Butler,29
12/8/18,Douglas,25
12/8/18,Ste. Genevieve,10
12/8/18,Andrew,14
12/8/18,Shelby,11
12/8/18,Linn,14
12/8/18,Dade,2
12/8/18,Clay,109
12/8/18,Phelps,17
12/8/18,Chariton,7
12/8/18,Carter,8
12/8/18,Lafayette,28
