"state_fips","whole_fips","labor_force","employed","unemployed","unemployment_rate"
"16","16001",256544,225376,31168,12.1
"16","16003",1746,1367,379,21.7
"16","16005",41492,37405,4087,9.9
"16","16007",2867,2625,242,8.4
"16","16009",4202,3443,759,18.1
"16","16011",23186,21663,1523,6.6
"16","16013",13434,10403,3031,22.6
"16","16015",3678,3074,604,16.4
"16","16017",20677,17015,3662,17.7
"16","16019",58896,54067,4829,8.2
"16","16021",5331,4686,645,12.1
"16","16023",1416,1338,78,5.5
"16","16025",719,624,95,13.2
"16","16027",105312,92096,13216,12.5
"16","16029",3927,3668,259,6.6
"16","16031",11684,10821,863,7.4
"16","16033",363,343,20,5.5
"16","16035",2892,2346,546,18.9
"16","16037",1972,1768,204,10.3
"16","16039",11242,10155,1087,9.7
"16","16041",7160,6577,583,8.1
"16","16043",7532,6974,558,7.4
"16","16045",8364,7370,994,11.9
"16","16047",8032,7477,555,6.9
"16","16049",6572,5710,862,13.1
"16","16051",14222,13325,897,6.3
"16","16053",12144,11215,929,7.6
"16","16055",80479,66802,13677,17
"16","16057",19736,17751,1985,10.1
"16","16059",3359,2950,409,12.2
"16","16061",1702,1444,258,15.2
"16","16063",2709,2344,365,13.5
"16","16065",20094,19116,978,4.9
"16","16067",10979,10186,793,7.2
"16","16069",19597,17237,2360,12
"16","16071",2307,2134,173,7.5
"16","16073",5651,5035,616,10.9
"16","16075",11504,10406,1098,9.5
"16","16077",3989,3743,246,6.2
"16","16079",5206,4116,1090,20.9
"16","16081",6487,5428,1059,16.3
"16","16083",41435,36735,4700,11.3
"16","16085",5791,4500,1291,22.3
"16","16087",4495,4067,428,9.5
"17","17001",30317,26669,3648,12
"17","17003",1809,1524,285,15.8
"17","17005",6837,5970,867,12.7
"17","17007",25010,19133,5877,23.5
"17","17009",2571,2356,215,8.4
"17","17011",16097,13892,2205,13.7
"17","17013",2134,1767,367,17.2
"17","17015",7013,5847,1166,16.6
"17","17017",5594,5009,585,10.5
"17","17019",100205,89257,10948,10.9
"17","17021",13148,11290,1858,14.1
"17","17023",7235,5737,1498,20.7
"17","17025",6250,4764,1486,23.8
"17","17027",18375,15854,2521,13.7
"17","17029",22484,19724,2760,12.3
"17","17031",2555193,2089720,465473,18.2
"17","17033",8167,6854,1313,16.1
"17","17035",5692,5092,600,10.5
"17","17037",48633,41287,7346,15.1
"17","17039",6452,5717,735,11.4
"17","17041",9449,8462,987,10.4
"17","17043",484462,412599,71863,14.8
"17","17045",8499,7161,1338,15.7
"17","17047",2673,2092,581,21.7
"17","17049",18519,15920,2599,14
"17","17051",9376,8086,1290,13.8
"17","17053",5826,5141,685,11.8
"17","17055",16744,12753,3991,23.8
"17","17057",14013,11724,2289,16.3
"17","17059",2139,1825,314,14.7
"17","17061",5506,4863,643,11.7
"17","17063",24436,20292,4144,17
"17","17065",4002,3301,701,17.5
"17","17067",7886,6719,1167,14.8
"17","17069",1248,1070,178,14.3
"17","17071",3432,2908,524,15.3
"17","17073",22452,19028,3424,15.3
"17","17075",13044,11615,1429,11
"17","17077",25600,21953,3647,14.2
"17","17079",4517,4043,474,10.5
"17","17081",16729,12214,4515,27
"17","17083",9989,8441,1548,15.5
"17","17085",9935,8196,1739,17.5
"17","17087",4149,3465,684,16.5
"17","17089",245799,204183,41616,16.9
"17","17091",51527,43320,8207,15.9
"17","17093",66477,55445,11032,16.6
"17","17095",20155,17214,2941,14.6
"17","17097",334581,285147,49434,14.8
"17","17099",51645,42123,9522,18.4
"17","17101",5695,4355,1340,23.5
"17","17103",16404,14290,2114,12.9
"17","17105",15249,13388,1861,12.2
"17","17107",11658,10306,1352,11.6
"17","17109",12460,11011,1449,11.6
"17","17111",160508,133818,26690,16.6
"17","17113",78832,68620,10212,13
"17","17115",41659,34931,6728,16.2
"17","17117",20490,17635,2855,13.9
"17","17119",122259,104073,18186,14.9
"17","17121",17392,13469,3923,22.6
"17","17123",4440,3781,659,14.8
"17","17125",5753,4974,779,13.5
"17","17127",5398,4278,1120,20.7
"17","17129",5728,5020,708,12.4
"17","17131",7247,6117,1130,15.6
"17","17133",16790,14670,2120,12.6
"17","17135",11148,9342,1806,16.2
"17","17137",15160,13471,1689,11.1
"17","17139",6800,6249,551,8.1
"17","17141",23073,19572,3501,15.2
"17","17143",75051,60503,14548,19.4
"17","17145",8580,6738,1842,21.5
"17","17147",7749,6980,769,9.9
"17","17149",6440,5715,725,11.3
"17","17151",1595,1363,232,14.5
"17","17153",1773,1432,341,19.2
"17","17155",2923,2436,487,16.7
"17","17157",13567,11383,2184,16.1
"17","17159",7086,5996,1090,15.4
"17","17161",66222,54626,11596,17.5
"17","17163",116406,97700,18706,16.1
