county,claims,date
Clark,2,30-May
Phillips,6,30-May
Rooks,4,30-May
Ellis,35,30-May
Rush,5,30-May
Pawnee,6,30-May
Edwards,3,30-May
Kiowa,1,30-May
Comanche,2,30-May
Smith,4,30-May
Osborne,4,30-May
Russell,12,30-May
Barton,75,30-May
Stafford,4,30-May
Pratt,19,30-May
Barber,4,30-May
Jewell,2,30-May
Mitchell,6,30-May
Lincoln,5,30-May
Ellsworth,16,30-May
Rice,19,30-May
Reno,188,30-May
Kingman,19,30-May
Harper,8,30-May
Republic,8,30-May
Cloud,18,30-May
Ottawa,18,30-May
Saline,207,30-May
McPherson,62,30-May
Harvey,62,30-May
Sedgewick,2776,30-May
Sumner,84,30-May
Washington,11,30-May
Clay,28,30-May
Dickinson,65,30-May
Marion,25,30-May
Butler,214,30-May
Cowley,89,30-May
Marshall,12,30-May
Riley,198,30-May
Geary,97,30-May
Morris,25,30-May
Chase,2,30-May
Nemaha,13,30-May
Pottawatomie,52,30-May
Wabaunsee,20,30-May
Lyon,100,30-May
Greenwood,10,30-May
Elk,6,30-May
Chautauqua,12,30-May
Brown,15,30-May
Jackson,43,30-May
Shawnee,535,30-May
Osage,51,30-May
Coffey,23,30-May
Woodson,8,30-May
Wilson,40,30-May
Montgomery,231,30-May
Doniphan,9,30-May
Atchison,41,30-May
Jefferson,57,30-May
Douglas,610,30-May
Franklin,73,30-May
Anderson,19,30-May
Allen,45,30-May
Neosho,30,30-May
Labette,46,30-May
Leavenworth,187,30-May
Wyandotte,538,30-May
Johnson,1452,30-May
Miami,89,30-May
Linn,30,30-May
Bourbon,118,30-May
Crawford,104,30-May
Cherokee,58,30-May
Cheyenne,1,
Sherman,10,
Wallance,0,
Greeley,1,
Hamilton,1,
Stanton,3,
Morton,5,
Rawlins,11,
Thomas,7,
Logan,4,
Wichita,3,
Kearny,0,
Grant,12,
Stevens,5,
Decatur,3,
Sheridan,1,
Gove,3,
Scott,12,
Lane,1,
Finney,70,
Haskell,1,
Gray,6,
Seward,38,
Meade,3,
Norton,6,
Graham,6,
Trego,2,
Ness,2,
Nodgeman,1,
Ford,94,
Clark,4,
Phillips,2,
Rooks,8,
Ellis,36,
Rush,9,
Pawnee,6,
Edwards,2,
Kiowa,3,
Comanche,6,
Smith,5,
Osborne,4,
Russell,9,
Barton,68,
Stafford,6,
Pratt,20,
Barber,3,
Jewell,1,
Mitchell,7,
Lincoln,6,
Ellsworth,10,
Rice,24,
Reno,159,
Kingman,24,
Harper,13,
Republic,2,
Cloud,20,
