county,claims,date
Finney,60,5/30/20
Haskell,4,5/30/20
Gray,2,5/30/20
Seward,35,5/30/20
Meade,2,5/30/20
Norton,3,5/30/20
Graham,5,5/30/20
Trego,4,5/30/20
Ness,4,5/30/20
Hodgeman,0,5/30/20
Ford,60,5/30/20
Clark,2,5/30/20
Phillips,6,5/30/20
Rooks,4,5/30/20
Ellis,35,5/30/20
Rush,5,5/30/20
Pawnee,6,5/30/20
Edwards,3,5/30/20
Kiowa,1,5/30/20
Comanche,2,5/30/20
Smith,4,5/30/20
Osborne,4,5/30/20
Russell,12,5/30/20
Barton,75,5/30/20
Stafford,4,5/30/20
Pratt,19,5/30/20
Barber,4,5/30/20
Jewell,2,5/30/20
Mitchell,6,5/30/20
Lincoln,5,5/30/20
Ellsworth,16,5/30/20
Rice,19,5/30/20
Reno,188,5/30/20
Kingman,19,5/30/20
Harper,8,5/30/20
Republic,8,5/30/20
Cloud,18,5/30/20
Ottawa,18,5/30/20
Saline,207,5/30/20
McPherson,62,5/30/20
Harvey,62,5/30/20
Sedgwick,2776,5/30/20
Sumner,84,5/30/20
Washington,11,5/30/20
Clay,28,5/30/20
Dickinson,65,5/30/20
Marion,25,5/30/20
Butler,214,5/30/20
Cowley,89,5/30/20
Marshall,12,5/30/20
Riley,198,5/30/20
Geary,97,5/30/20
Morris,25,5/30/20
Chase,2,5/30/20
Nemaha,13,5/30/20
Pottawatomie,52,5/30/20
Wabaunsee,20,5/30/20
Lyon,100,5/30/20
Greenwood,10,5/30/20
Elk,6,5/30/20
Chautauqua,12,5/30/20
Brown,15,5/30/20
Jackson,43,5/30/20
Shawnee,535,5/30/20
Osage,51,5/30/20
Coffey,23,5/30/20
Woodson,8,5/30/20
Wilson,40,5/30/20
Montgomery,231,5/30/20
Doniphan,9,5/30/20
Atchison,41,5/30/20
Jefferson,57,5/30/20
Douglas,610,5/30/20
Franklin,73,5/30/20
Anderson,19,5/30/20
Allen,45,5/30/20
Neosho,30,5/30/20
Labette,46,5/30/20
Leavenworth,187,5/30/20
Wyandotte,538,5/30/20
Johnson,1452,5/30/20
Miami,89,5/30/20
Linn,30,5/30/20
Bourbon,118,5/30/20
Crawford,104,5/30/20
Cherokee,58,5/30/20
Cheyenne,1,6/6/20
Sherman,10,6/6/20
Wallace,0,6/6/20
Greeley,1,6/6/20
Hamilton,1,6/6/20
Stanton,3,6/6/20
Morton,5,6/6/20
Rawlins,11,6/6/20
Thomas,7,6/6/20
Logan,4,6/6/20
Wichita,3,6/6/20
Kearny,0,6/6/20
Grant,12,6/6/20
Stevens,5,6/6/20
Decatur,3,6/6/20
Sheridan,1,6/6/20
Gove,3,6/6/20
Scott,12,6/6/20
Lane,1,6/6/20
Finney,70,6/6/20
Haskell,1,6/6/20
Gray,6,6/6/20
Seward,38,6/6/20
Meade,3,6/6/20
